APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-04-01,1412,1539.551920207976
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-04-01,1657,1693.1886310218583
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-08-01,1562,1524.0168907784973
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-08-01,1667,1501.7608412271406
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2014-12-01,1518,1576.0336719481365
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-12-01,1564,1523.9676981831133
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-02-01,1505,1431.565102619795
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-02-01,1558,1411.9144419583058
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-01-01,1533,1476.3850969432306
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-01-01,1523,1478.4893263243362
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-07-01,1510,1479.974664710999
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-07-01,1693,1481.7488188950683
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-06-01,1339,1492.7650785961512
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-06-01,1604,1511.7031430261022
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-03-01,1419,1529.0733502701312
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-03-01,1633,1547.268745506751
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-05-01,1402,1565.7529565407776
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-05-01,1578,1577.63566363408
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2014-11-01,1507,1647.460051147375
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-11-01,1512,1656.8995965473887
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2014-10-01,1670,1661.7230263740498
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-10-01,1491,1771.0955036775467
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-10-01,1445,1659.335832685908
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2014-09-01,1744,1581.3542132510108
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2015-09-01,1691,1498.0617021748483
Aamgaon,Paddy-Unhusked,Aamgaon-Paddy-Unhusked,2016-09-01,1697,1465.0644142674162
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-04-01,3290,4070.6684027777774
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-04-01,3638,2788.960069444445
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-08-01,3278,3190.3350694444443
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-08-01,3594,3162.376736111111
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2014-12-01,3105,3145.3767361111113
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-12-01,3357,3200.3767361111113
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-02-01,3225,3219.9600694444443
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-02-01,3488,3181.147569444445
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-01-01,3159,3256.0850694444443
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-01-01,3452,3275.043402777778
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-07-01,3357,3297.7517361111113
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-07-01,3641,3320.918402777778
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-06-01,3375,3343.6684027777774
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-06-01,3667,3369.960069444445
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2015-03-01,3222,3393.3350694444443
Akhadabalapur,Soybean,Akhadabalapur-Soybean,2016-03-01,3505,3414.376736111111
