APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,cluster
Akole,Bajri,2015,April,52,1357,1800,1525,2015-04-01,Ahmadnagar,Maharashtra,Akole-Bajri
Akole,Bajri,2016,April,75,1460,1960,1685,2016-04-01,Ahmadnagar,Maharashtra,Akole-Bajri
Akole,Paddy-Unhusked,2015,April,113,1450,1925,1625,2015-04-01,Ahmadnagar,Maharashtra,Akole-Paddy-Unhusked
Akole,Paddy-Unhusked,2016,April,448,1500,2017,1704,2016-04-01,Ahmadnagar,Maharashtra,Akole-Paddy-Unhusked
Akole,Wheat(Husked),2015,April,164,1450,1975,1644,2015-04-01,Ahmadnagar,Maharashtra,Akole-Wheat(Husked)
Akole,Wheat(Husked),2016,April,115,1517,2150,1725,2016-04-01,Ahmadnagar,Maharashtra,Akole-Wheat(Husked)
Akole,Gram,2015,April,39,3200,3500,3350,2015-04-01,Ahmadnagar,Maharashtra,Akole-Gram
Akole,Gram,2016,April,70,3767,4833,4383,2016-04-01,Ahmadnagar,Maharashtra,Akole-Gram
Akole,Soybean,2015,April,285,3000,3450,3250,2015-04-01,Ahmadnagar,Maharashtra,Akole-Soybean
Akole,Soybean,2016,April,378,3400,3883,3683,2016-04-01,Ahmadnagar,Maharashtra,Akole-Soybean
Jamkhed,Bajri,2015,April,164,1304,1446,1375,2015-04-01,Ahmadnagar,Maharashtra,Jamkhed-Bajri
Jamkhed,Bajri,2016,April,45,1513,1742,1627,2016-04-01,Ahmadnagar,Maharashtra,Jamkhed-Bajri
Jamkhed,Wheat(Husked),2015,April,735,1856,2256,2056,2015-04-01,Ahmadnagar,Maharashtra,Jamkhed-Wheat(Husked)
Jamkhed,Wheat(Husked),2016,April,46,2132,2268,2200,2016-04-01,Ahmadnagar,Maharashtra,Jamkhed-Wheat(Husked)
Jamkhed,Sorgum(Jawar),2015,April,20890,1800,2800,2300,2015-04-01,Ahmadnagar,Maharashtra,Jamkhed-Sorgum(Jawar)
Jamkhed,Sorgum(Jawar),2016,April,24391,1861,2933,2397,2016-04-01,Ahmadnagar,Maharashtra,Jamkhed-Sorgum(Jawar)
Jamkhed,Onion,2015,April,5232,106,1469,788,2015-04-01,Ahmadnagar,Maharashtra,Jamkhed-Onion
Jamkhed,Onion,2016,April,7587,100,939,519,2016-04-01,Ahmadnagar,Maharashtra,Jamkhed-Onion
Kopargaon,Bajri,2015,April,354,1164,1469,1401,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Bajri
Kopargaon,Bajri,2016,April,388,1603,2018,1750,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Bajri
Kopargaon,Wheat(Husked),2015,April,9668,1302,1713,1529,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Wheat(Husked)
Kopargaon,Wheat(Husked),2016,April,1028,1486,1861,1652,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Wheat(Husked)
Kopargaon,Sorgum(Jawar),2015,April,672,1070,1421,1324,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Sorgum(Jawar)
Kopargaon,Sorgum(Jawar),2016,April,2038,1445,1974,1770,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Sorgum(Jawar)
Kopargaon,Maize,2015,April,389,1156,1257,1226,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Maize
Kopargaon,Maize,2016,April,284,1373,1445,1418,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Maize
Kopargaon,Gram,2015,April,2378,3214,3822,3681,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Gram
Kopargaon,Gram,2016,April,748,4492,5435,5276,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Gram
Kopargaon,Soybean,2015,April,329,3244,3590,3517,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Soybean
Kopargaon,Soybean,2016,April,175,3728,3950,3893,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Soybean
Kopargaon,Onion,2015,April,34179,395,1350,988,2015-04-01,Ahmadnagar,Maharashtra,Kopargaon-Onion
Kopargaon,Onion,2016,April,18750,250,845,701,2016-04-01,Ahmadnagar,Maharashtra,Kopargaon-Onion
Newasa,Wheat(Husked),2015,April,575,1450,1511,1481,2015-04-01,Ahmadnagar,Maharashtra,Newasa-Wheat(Husked)
Newasa,Wheat(Husked),2016,April,135,1608,1900,1667,2016-04-01,Ahmadnagar,Maharashtra,Newasa-Wheat(Husked)
Pathardi,Bajri,2015,April,371,1259,1443,1317,2015-04-01,Ahmadnagar,Maharashtra,Pathardi-Bajri
Pathardi,Bajri,2016,April,163,1285,1650,1449,2016-04-01,Ahmadnagar,Maharashtra,Pathardi-Bajri
Pathardi,Wheat(Husked),2015,April,685,1489,2133,1761,2015-04-01,Ahmadnagar,Maharashtra,Pathardi-Wheat(Husked)
Pathardi,Wheat(Husked),2016,April,343,1583,2133,1855,2016-04-01,Ahmadnagar,Maharashtra,Pathardi-Wheat(Husked)
Pathardi,Sorgum(Jawar),2015,April,734,1528,1783,1648,2015-04-01,Ahmadnagar,Maharashtra,Pathardi-Sorgum(Jawar)
Pathardi,Sorgum(Jawar),2016,April,682,1573,1935,1740,2016-04-01,Ahmadnagar,Maharashtra,Pathardi-Sorgum(Jawar)
Pathardi,Onion,2015,April,3133,238,1433,920,2015-04-01,Ahmadnagar,Maharashtra,Pathardi-Onion
Pathardi,Onion,2016,April,4703,173,1605,696,2016-04-01,Ahmadnagar,Maharashtra,Pathardi-Onion
Rahata,Bajri,2015,April,203,1168,1268,1223,2015-04-01,Ahmadnagar,Maharashtra,Rahata-Bajri
Rahata,Bajri,2016,April,39,1511,1511,1511,2016-04-01,Ahmadnagar,Maharashtra,Rahata-Bajri
Rahata,Wheat(Husked),2015,April,2698,1292,1589,1394,2015-04-01,Ahmadnagar,Maharashtra,Rahata-Wheat(Husked)
